Match demand,Minimize cost,tooltip
15092077.104415175,47.2583999515464,"Generation: 127<br>Type: Minimize curtailments<br>Installed power: 189.66 GW<br>Renewable power: 160.83 GW (255.78 %)<br>Emissions: 16,125.98 Kton CO<sub>2</sub> (75.01 %)<br>Imported energy: 128.83 GWh<br>Exported energy: -22533.73 GWh<br>Net cost: 14,231.82 M€<br>Dumped energy cost: 512.94 M€<br>Power PV: 41.60 GW (41353.82855441846)<br>Power wind: 73.18 GW (72755.2681950195)<br>Power CSP: 14.98 GW (12673.47310336363)<br>Match demand = 15,092.08 GWh<br>Minimize cost = 4.73 c€/kWh<br>"
12786047.044420335,49.66088108144056,"Generation: 121<br>Type: Minimize curtailments<br>Installed power: 184.00 GW<br>Renewable power: 155.17 GW (246.76 %)<br>Emissions: 16,122.76 Kton CO<sub>2</sub> (75.02 %)<br>Imported energy: 131.63 GWh<br>Exported energy: -21383.02 GWh<br>Net cost: 14,955.32 M€<br>Dumped energy cost: 445.50 M€<br>Power PV: 30.13 GW (29885.97977834419)<br>Power wind: 74.43 GW (74004.96883865992)<br>Power CSP: 19.53 GW (17224.53812387739)<br>Match demand = 12,786.05 GWh<br>Minimize cost = 4.97 c€/kWh<br>"
15098695.567427073,47.25728021598945,"Generation: 121<br>Type: Minimize curtailments<br>Installed power: 189.67 GW<br>Renewable power: 160.84 GW (255.79 %)<br>Emissions: 16,123.39 Kton CO<sub>2</sub> (75.02 %)<br>Imported energy: 128.78 GWh<br>Exported energy: -22541.08 GWh<br>Net cost: 14,231.48 M€<br>Dumped energy cost: 513.18 M€<br>Power PV: 41.60 GW (41353.82855441846)<br>Power wind: 73.19 GW (72765.02880633101)<br>Power CSP: 14.98 GW (12673.47310336363)<br>Match demand = 15,098.70 GWh<br>Minimize cost = 4.73 c€/kWh<br>"
15053904.552368086,47.290993189632644,"Generation: 120<br>Type: Minimize curtailments<br>Installed power: 189.59 GW<br>Renewable power: 160.76 GW (255.66 %)<br>Emissions: 16,129.09 Kton CO<sub>2</sub> (75.01 %)<br>Imported energy: 129.38 GWh<br>Exported energy: -22457.54 GWh<br>Net cost: 14,241.63 M€<br>Dumped energy cost: 511.51 M€<br>Power PV: 41.61 GW (41358.20618738279)<br>Power wind: 73.04 GW (72613.03140788786)<br>Power CSP: 15.04 GW (12739.92004469672)<br>Match demand = 15,053.90 GWh<br>Minimize cost = 4.73 c€/kWh<br>"
12530062.158864439,50.70216385619863,"Generation: 112<br>Type: Minimize curtailments<br>Installed power: 182.56 GW<br>Renewable power: 153.73 GW (244.49 %)<br>Emissions: 16,094.29 Kton CO<sub>2</sub> (75.06 %)<br>Imported energy: 139.58 GWh<br>Exported energy: -20525.79 GWh<br>Net cost: 15,268.90 M€<br>Dumped energy cost: 437.65 M€<br>Power PV: 28.36 GW (28109.68310858738)<br>Power wind: 72.52 GW (72089.26781429141)<br>Power CSP: 21.79 GW (19485.066685237798)<br>Match demand = 12,530.06 GWh<br>Minimize cost = 5.07 c€/kWh<br>"
12822519.11069252,49.65405208624564,"Generation: 110<br>Type: Minimize curtailments<br>Installed power: 184.03 GW<br>Renewable power: 155.20 GW (246.82 %)<br>Emissions: 16,097.21 Kton CO<sub>2</sub> (75.06 %)<br>Imported energy: 130.04 GWh<br>Exported energy: -21558.07 GWh<br>Net cost: 14,953.27 M€<br>Dumped energy cost: 447.55 M€<br>Power PV: 29.77 GW (29526.126070000515)<br>Power wind: 74.83 GW (74401.69704177915)<br>Power CSP: 19.53 GW (17224.53812387739)<br>Match demand = 12,822.52 GWh<br>Minimize cost = 4.97 c€/kWh<br>"
12803613.22799879,49.658638913854915,"Generation: 106<br>Type: Minimize curtailments<br>Installed power: 184.00 GW<br>Renewable power: 155.17 GW (246.77 %)<br>Emissions: 16,106.28 Kton CO<sub>2</sub> (75.04 %)<br>Imported energy: 130.18 GWh<br>Exported energy: -21533.90 GWh<br>Net cost: 14,954.65 M€<br>Dumped energy cost: 446.85 M€<br>Power PV: 29.77 GW (29526.126070000515)<br>Power wind: 74.80 GW (74369.61972254381)<br>Power CSP: 19.53 GW (17224.53812387739)<br>Match demand = 12,803.61 GWh<br>Minimize cost = 4.97 c€/kWh<br>"
15497450.88464538,47.08806231765172,"Generation: 90<br>Type: Minimize curtailments<br>Installed power: 190.35 GW<br>Renewable power: 161.52 GW (256.87 %)<br>Emissions: 16,127.67 Kton CO<sub>2</sub> (75.01 %)<br>Imported energy: 131.92 GWh<br>Exported energy: -22485.36 GWh<br>Net cost: 14,180.52 M€<br>Dumped energy cost: 524.73 M€<br>Power PV: 43.35 GW (43102.23133183586)<br>Power wind: 72.37 GW (71947.76987839042)<br>Power CSP: 14.73 GW (12421.551053093406)<br>Match demand = 15,497.45 GWh<br>Minimize cost = 4.71 c€/kWh<br>"
15333275.886200977,47.209292046630694,"Generation: 83<br>Type: Minimize curtailments<br>Installed power: 190.05 GW<br>Renewable power: 161.22 GW (256.39 %)<br>Emissions: 16,125.60 Kton CO<sub>2</sub> (75.01 %)<br>Imported energy: 132.62 GWh<br>Exported energy: -22311.90 GWh<br>Net cost: 14,217.03 M€<br>Dumped energy cost: 519.28 M€<br>Power PV: 42.99 GW (42738.67636931971)<br>Power wind: 72.20 GW (71772.34207305734)<br>Power CSP: 14.96 GW (12654.362374547003)<br>Match demand = 15,333.28 GWh<br>Minimize cost = 4.72 c€/kWh<br>"
15502525.46444741,47.084133261028285,"Generation: 81<br>Type: Minimize curtailments<br>Installed power: 190.36 GW<br>Renewable power: 161.53 GW (256.89 %)<br>Emissions: 16,127.81 Kton CO<sub>2</sub> (75.01 %)<br>Imported energy: 131.89 GWh<br>Exported energy: -22491.32 GWh<br>Net cost: 14,179.34 M€<br>Dumped energy cost: 524.90 M€<br>Power PV: 43.36 GW (43112.43178258473)<br>Power wind: 72.38 GW (71954.78516433589)<br>Power CSP: 14.72 GW (12413.81378648781)<br>Match demand = 15,502.53 GWh<br>Minimize cost = 4.71 c€/kWh<br>"
